,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,estimated_generation_gwh,city,state,aqi,pm10,co,o3,so2,no2
0,abono 2,WRI1006157,877.6600000000003,43.5528,-5.7231,coal,4526.039693464082,Asturias,Principado de Asturias,56.0,27.0,626.6669999999999,27.25,7.0,24.0
1,aceca  grupo 4,WRI1006159,758.74,39.9427,-3.8548,gas,1371.1425733196775,Toledo,Castilla-La Mancha,76.0,39.0,700.0,4.9433300000000004,1.0,52.0
2,ads juneda 2,WRI1006161,15.0,41.5485,0.8245,waste,53.033856112809026,Lleida,Catalunya,23.0,25.0,250.0,21.3236,1.0,1.0
3,agreda,WRI1006162,18.0,41.8559,-1.9224,wind,82.57939665072523,Soria,Castilla y León,23.0,3.11571,375.0,50.0,2.05,6.8
4,agreda,WRI1006163,16.334,41.8559,-1.9224,waste,57.750333716441524,Soria,Castilla y León,23.0,3.11571,375.0,50.0,2.05,6.8
5,agroenergetica de baena,WRI1006165,20.0,37.6167,-4.3225,biomass,4728.0,Córdoba,Andalucía,28.0,14.2686,400.543,32.0971,0.680797,38.0
6,aguayo 3,WRI1006167,360.6,43.0952,-4.0004,hydro,989.5170461512047,Cantabria,Cantabria,53.0,8.0,133.333,61.7917,277.778,3.13889
7,albarellos grupo 1,WRI1006170,67.6,42.4333,-8.1443,hydro,185.500145091019,Ourense,Galicia,29.0,0.020056,230.0,18.0,1.0,19.1
8,alcudia 1  grupo n 1,WRI1006172,533.8,39.8106,3.0913,coal,2752.7744096473875,Illes Balears,Illes Balears,38.0,22.3312,344.217,61.2438,2.5,3.72715
9,aldeadavila ii 2,WRI1006178,1226.43,41.2117,-6.6856,hydro,3365.428150058853,Salamanca,Castilla y León,30.0,0.201943,338.793,65.0883,0.148779,3.02563
10,alentisque,WRI1006179,46.5,41.4206,-2.3319,wind,213.3301080143736,Soria,Castilla y León,18.0,12.0,304.997,39.0,2.0,41.0
11,alto de la sierra,WRI1006185,11.05,41.5406,-1.7166,wind,50.69457405502856,Zaragoza,Aragón,23.0,3.5973599999999997,316.262,49.9785,0.08475039999999999,2.09385
12,amorebieta,WRI1006189,786.42,43.2347,-2.7497,gas,1421.1639593405655,Vizcaya,País Vasco,29.0,13.0,220.0,61.0,8.0,22.5
13,ampliacion del pical,WRI1006191,11.05,42.9362,-4.3083,wind,50.69457405502856,Palencia,Castilla y León,95.0,8.0,150.0,64.3333,500.0,1.8
14,ampliacion padornelo,WRI1006192,18.0,42.0357,-6.9054,wind,82.57939665072523,Zamora,Castilla y León,30.0,11.0,100.0,65.7141,0.522472,2.46335
15,ampliacion sierra del cortado,WRI1006193,13.5,41.7389,-2.1697,wind,61.93454748804394,Soria,Castilla y León,18.0,12.0,304.997,39.0,2.0,41.0
16,andasol-3,WRI1006195,149.7,37.2281,-3.0511,solar,1006.9042750120152,Granada,Andalucía,36.0,11.300999999999998,343.38199999999995,78.51,1.1,2.32
17,anllares gr 1,WRI1006197,346.84,42.8385,-6.5332,coal,1788.6329641103412,León,Castilla y León,26.0,10.0,338.793,56.0,2.0,3.4915300000000005
18,arbon 2,WRI1006201,56.040000000000006,43.4486,-6.7053,hydro,153.77852264646015,Asturias,Principado de Asturias,26.0,0.446457,326.276,56.0,1.35228,2.9346
19,arcos de la frontera grupo 1,WRI1006203,1585.39,36.6721,-5.8164,gas,2865.00741270433,Cádiz,Andalucía,34.0,19.7257,384.68800000000005,24.721,5.0,14.0304
20,arona 1  gas 1,WRI1006207,43.2,28.0996,-16.680999999999994,oil,130.7199929028638,Santa Cruz de Tenerife,Canarias,25.0,14.0,314.176,54.1667,3.5,6.8
21,arrubal grupo 1,WRI1006210,784.7,42.4194,-2.2511,gas,1418.0556940242388,La Rioja,La Rioja,22.0,2.68138,265.0,46.6667,2.825,6.433330000000001
22,arties 1,WRI1006212,67.52,41.798,1.9543,hydro,185.2806182920948,Barcelona,Catalunya,30.0,32.0,100.0,11.75,1.0,22.5
23,asco gr,WRI1006213,1990.5,41.2008,0.5679,nuclear,16020.314786673147,Tarragona,Catalunya,15.0,5.02302,400.0,31.37,0.67,9.5025
24,aste 1a,WRI1006214,99.8,39.171,-3.2666,solar,671.2695166746768,Ciudad Real,Castilla-La Mancha,26.0,6.07747,324.607,55.7005,0.284985,3.31481
25,astexol-2,WRI1006215,49.9,38.812,-7.0587,solar,335.6347583373384,Badajoz,Extremadura,31.0,0.250687,325.024,67.5023,125.0,2.4258599999999997
26,azuliber,WRI1006221,17.762999999999995,40.0667,-0.2,gas,32.100067915066326,Castellón,Comunidad Valenciana,22.0,24.0,100.0,25.75,3.0,10.6667
27,azutan 2,WRI1006222,198.01,39.7799,-5.0876,hydro,543.3562681874656,Toledo,Castilla-La Mancha,19.0,20.0,333.369,42.0,3.0,16.0
28,bahia de algeciras i,WRI1006223,731.0,36.1829,-5.3905,gas,1321.0127594389173,Cádiz,Andalucía,35.0,20.1976,361.741,26.9562,4.5225,24.0
29,barazar 1,WRI1006226,82.7,43.1,-2.75,hydro,226.9358283879774,Bizkaia,Euskadi,29.0,13.0,220.0,61.0,3.33333,17.0
30,barcena gr 1,WRI1006228,61.15,43.1258,-4.0566,hydro,167.80079692774868,Cantabria,Cantabria,53.0,8.0,133.333,61.7917,277.778,3.13889
31,barrados,WRI1006229,15.88,42.7333,0.7167,hydro,43.57606958647015,Lleida,Catalunya,3.0,0.49405200000000005,350.475,4.0,0.138301,1.57172
32,barranco de tirajana 7  vapor 3 (cc1),WRI1006230,646.26,27.8045,-15.4387,oil,1955.5347827177027,Las Palmas,Canary Islands,29.0,19.0,311.673,52.3333,4.0,6.75
33,belesar grupo 2,WRI1006246,331.01,42.6263,-7.7135,hydro,908.3195713990857,Lugo,Galicia,29.0,0.051291199999999995,165.0,61.8696,0.280328,16.0
34,bembezar,WRI1006247,14.86,37.8333,-5.2333,hydro,40.77710290018554,Córdoba,Andalucía,30.0,16.7087,355.065,50.0679,1.4826700000000002,38.0
35,benageber 2,WRI1006248,14.91,39.7167,-1.1,hydro,40.91430714951322,Valencia,Comunidad Valenciana,13.0,6.0,354.23,29.0,0.159722,9.0
36,besos  grupo 5,WRI1006249,1670.81,41.4196,2.2294,gas,3019.372542541912,Barcelona,Catalunya,30.0,32.0,100.0,24.3333,1.0,39.0
37,biescas ii 1,WRI1006251,61.4,42.629,-0.3214,hydro,168.48681817438708,Huesca,Aragón,16.0,0.654924,359.654,34.0,1.0,2.0
38,boinersa,WRI1006265,24.6,42.65,-8.9,oil,74.43777373635298,A Coruña,Galicia,26.0,19.0,105.0,56.6667,1.1,4.1
39,bolarque i grupo 1,WRI1006266,27.94,40.419,-2.9226,hydro,76.66973452430578,Guadalajara,Castilla-La Mancha,21.0,3.21285,440.0,46.3128,0.0698492,3.4326199999999996
40,bolarque ii grupo 1,WRI1006267,215.0,40.364,-2.8289,hydro,589.9782721090103,Guadalajara,Castilla-La Mancha,21.0,3.21285,440.0,46.3128,0.0698492,3.4326199999999996
41,buendia grupo 1,WRI1006273,54.45,40.3664,-2.7565,hydro,149.41542751784002,Cuenca,Castilla-La Mancha,21.0,3.21285,440.0,46.3128,0.0698492,3.4326199999999996
42,burguillo grupo 1,WRI1006274,61.95,40.4153,-4.5016,hydro,169.99606491699154,Ávila,Castilla y León,25.0,11.9179,700.0,32.5,1.0,14.0
43,c.h. arnoya,WRI1006277,10.0,42.8878,-8.9567,hydro,27.44084986553536,A Coruña,Galicia,27.0,18.0,110.0,58.0,1.15,6.0
44,c.h. en alarcon,WRI1006278,15.89,39.55,-2.0833,hydro,43.60351043633569,Cuenca,Castilla-La Mancha,27.0,29.0,344.217,2.0,6.0,53.0
45,c.h. millares ii grupo 1,WRI1006280,70.17,39.25,-0.7667,hydro,192.5524435064616,Valencia,Comunidad Valenciana,69.0,6.0,400.0,29.5,362.5,6.9188
46,c.h. rialb 2.,WRI1006282,24.774,41.9753,1.2561,hydro,67.9819614568773,Lleida,Catalunya,5.0,1.52605,100.0,4.0,0.0976725,1.0
47,c.h. sahechores,WRI1006283,20.215999999999998,42.6563,-5.1753,hydro,55.474422088166286,León,Castilla y León,33.0,0.23349499999999998,306.666,71.0,1.0,5.0
48,caldes 2,WRI1006288,32.48,42.5046,0.8006,hydro,89.12788036325883,Lleida,Catalunya,2.0,0.49405200000000005,100.0,4.0,0.138301,1.0
49,camarasa ii 1,WRI1006289,58.65000000000001,41.8749,0.8781,hydro,160.9405844613649,Lleida,Catalunya,15.0,1.43066,100.0,32.1865,0.443775,1.0
50,campo de gibraltar grupo 20,WRI1006292,780.6600000000003,36.1834,-5.3933,gas,1410.7548847928665,Cádiz,Andalucía,35.0,20.1976,361.741,26.9562,4.5225,24.0
51,camporriondi,WRI1006297,15.2,43.3514,-5.1292,hydro,41.71009179561374,Asturias,Principado de Asturias,28.0,0.5009239999999999,367.582,59.6344,0.317581,0.89
52,canalejas,WRI1006300,18.7,39.85,-0.75,wind,85.7908176315868,Castellón,Comunidad Valenciana,15.0,6.0,352.97900000000004,33.0,0.32642899999999997,9.0
53,candelaria 9  vapor 5,WRI1006302,153.94,28.3548,-16.3727,oil,465.8110117469178,Santa Cruz de Tenerife,Canarias,27.0,14.0,315.845,58.5714,4.0,7.25
54,canelles 1,WRI1006306,107.4,41.9763,0.6116,hydro,294.71472755584966,Lleida,Aragón,15.0,1.43066,100.0,32.1865,0.443775,1.0
55,cartagena grupo 1,WRI1006308,1248.82,37.5732,-0.9392,gas,2256.781332753091,Murcia,Región de Murcia,28.0,30.0,200.0,38.0,5.0,14.0
56,cas tresorer tg3  cc2,WRI1006309,429.0,39.5672,2.6895,gas,775.2591980838516,Illes Balears,Illes Balears,42.0,24.826,367.165,32.3653,2.5,7.10087
57,casablanca,WRI1006316,49.9,39.2939,-5.2168,solar,335.6347583373384,Badajoz,Extremadura,23.0,6.24404,315.428,49.3526,0.111642,2.55974
